p_m=Param m,p_s=Param s,n=Gen (#),t=Time (s),m=Mass (mg),g=Growth (mg/s),r=Gyradius (mm),d=Mass-growth distance (mm),s=Speed (mm/s),w=Angular speed (deg/s),m_a=Mass asymmetry (mg),x=X position(mm),y=Y position(mm),l=Lyapunov exponent,k=Rotational symmetry,w_k=Rotational speed
0.231,0.0565,868,173.125,24.65573179045181,7.877609163566456,2.4214141636265945,0.1394955253969334,0.04103226840982979,94.65041233097236,-0.16685903062440274,-42.11267738729494,51.98384044684036,0,0,0
0.231,0.0565,869,173.375,24.60619095898496,8.24137752590996,2.415592916711264,0.25418252476977327,0.1211243748931679,-130.52728566371525,-0.18433123640144686,-42.58479543898644,51.6045221107445,0,0,0
0.231,0.0565,870,173.625,24.60772291090896,8.466428469297112,2.4126266773024243,0.3540537336080458,0.040616704237956255,291.47302503942683,-2.0291837929323355,-42.75298373187565,51.71834484447487,0,0,0
0.231,0.0565,871,173.875,24.617889807957198,8.692960907589045,2.4118611198036124,0.43189949749138007,0.03126020984407958,170.87293212303166,-1.1842307771946026,-42.78865737719829,51.87052043061401,0,0,0
0.231,0.0565,872,174.125,24.651083365975982,8.816938739691185,2.4129775884202336,0.4977236648185235,0.02788715058808291,123.10190728827911,0.0739290925473847,-42.74653751481433,52.00344238662887,0,0,0
0.231,0.0565,873,174.375,24.74786327283332,9.337004629395725,2.4151729343600543,0.5796682191876279,0.03850812038700248,153.92651992428773,-0.01932241665234187,-42.586794289409674,52.11093185276772,0,0,0
0.231,0.0565,874,174.625,24.9270713781678,10.571215729178881,2.4182253124686297,0.7068551416236715,0.055977744096880264,86.36477907721064,-0.6999536965716311,-42.313377149688755,52.17077133439336,0,0,0
0.231,0.0565,875,174.875,25.148060808198696,11.208641316430253,2.4231671705868365,0.7168030443895804,0.06493313616819164,55.302501621375995,0.0008074338796745905,-41.988819870830504,52.1623822309816,0,0,0
0.231,0.0565,876,175.125,25.417930193765624,11.54126592542198,2.431113100397642,0.6706284202220361,0.07956907463111153,37.993911991980895,1.1482706755625531,-41.59825639959997,52.08661207932781,0,0,0
0.231,0.0565,877,175.375,25.722773746083952,11.938866914515009,2.4420924892004496,0.5623423234787364,0.0862668233562037,3.5286603083163754,1.1198476404059874,-41.17613208850576,51.99795438771281,0,0,0
0.231,0.0565,878,175.625,25.93901708006172,11.077772170918552,2.451610557115397,0.3858740030156144,0.06658719190042975,-36.07047175783191,0.267651741494592,-40.84360610071013,51.981437106757475,0,0,0
0.231,0.0565,879,175.875,26.186880897775744,11.716333975721739,2.458563200164167,0.4111474012063468,0.24791881026548185,-14.375087697409072,0.025818048723879203,-39.6041182780209,51.99766515320183,0,0,0
0.231,0.0565,880,176.125,26.480120816376324,12.646095402077608,2.4655509461680287,0.5176021345173897,0.254895154855847,-5.038526359992375,-0.0009427961125493312,-38.33042645647354,52.04236015234068,0,0,0
0.231,0.0565,881,176.375,26.76380905111151,13.345318999453623,2.470200676987601,0.6266726977639898,0.27342849147659715,12.30580556728637,0.001305659661666141,-36.963520930686045,52.01690858361083,0,0,0
0.231,0.0565,882,176.625,27.04172407205137,13.900327720338959,2.4704357207917504,0.6472781221853635,0.469882203817629,7.954336951966525,0.1025596956909908,-34.6174494650804,51.89168552309974,0,0,0
0.231,0.0565,883,176.875,27.410792514099935,14.476785804484285,2.4722340797537004,0.6309377749165213,0.4704775132016966,5.079048854734538,0.15395344612990583,-32.271760930199555,51.714280455415995,0,0,0
0.231,0.0565,884,177.125,27.841473189313792,14.53309743780359,2.4758711669412916,0.5317085810287877,0.4347440231990204,-3.645072582414741,0.1100632284993867,-30.10189803403939,51.58484261493188,0,0,0
0.231,0.0565,885,177.375,28.203297997341537,14.117348065494916,2.478882911604429,0.3591557679637072,0.37154684125785203,-21.26308823608133,0.22321680242618414,-28.24518730841051,51.64650023856323,0,0,0
0.231,0.0565,886,177.625,28.548281648182584,14.262090541440054,2.478725375958589,0.2563943258821228,0.39060471076332265,3.27563233349656,0.15324968424239616,-26.292512680064043,51.68341632685087,0,0,0
0.231,0.0565,887,177.875,28.919645162937787,14.779157718292403,2.478627220589432,0.2514327894619536,0.4291647326534614,0.5344239720252517,0.16349102195081286,-24.146983639507248,51.718973744717665,0,0,0
0.231,0.0565,888,178.125,29.3544515219375,15.707737141144342,2.479378997241481,0.35095235984064443,0.44062583463108446,-5.110489458742904,0.2835647322427644,-21.945518585053755,51.80458780681366,0,0,0
0.231,0.0565,889,178.375,29.851684306048334,16.572624563282147,2.4752302965815494,0.39688239018622906,0.6860494819084513,-0.11655952061164498,0.26448797355730447,-18.517930427656164,51.9396311848044,0,0,0
0.231,0.0565,890,178.625,30.364295463796257,16.651541996723214,2.4659633812122266,0.33117499838154185,0.74676653344354,0.7229481390886576,0.2043450039117988,-14.78654723670562,52.07485643789635,0,0,0
0.231,0.0565,891,178.875,31.09087569449096,16.94732171573682,2.4493536506548335,0.21686957995537967,0.9473328996294103,11.687703218585284,0.1621375130148772,-10.050399604477931,52.004883773585895,0,0,0
0.231,0.0565,892,179.125,31.497914230157612,16.745927536697607,2.433003365188557,0.07159695225535341,0.7831959101351544,-1.7253666653023174,0.21851690022993808,-6.134522821642693,51.9765136667343,0,0,0
0.231,0.0565,893,179.375,32.08440914318921,17.57116450981607,2.42855896576169,0.05849583032877888,0.5722068796774835,-13.963992304461044,0.5694770270648405,-3.2776102425084512,52.13003351542034,0,0,0
0.231,0.0565,894,179.625,32.647803390287145,17.2286737891629,2.425698674330752,0.12728186308813796,0.4905530602973416,2.993553076610624,0.56822978238602,-0.8268684544825109,52.22964432106209,0,0,0
0.231,0.0565,895,179.875,33.27235708886571,17.135377332571053,2.42342113310997,0.1514336614315579,0.5763686734043757,9.515040409080939,0.5891654092147178,2.0549737598965443,52.22706682793492,0,0,0
0.231,0.0565,896,180.125,33.9441234610831,17.293130104567737,2.427871066998455,0.23817361576608517,0.4889055123269601,7.924881739329521,0.625161510982473,4.497963448825339,52.14036977273824,0,0,0
0.231,0.0565,897,180.375,34.413996175960946,15.641904199505895,2.4329846168277522,0.2389958534063835,0.3424535731568934,30.77802360221085,0.7397339822901517,6.18561583053833,51.85107635301259,0,0,0
0.231,0.0565,898,180.625,34.975369353490976,16.185343054554167,2.440544120785859,0.0407639604785336,0.3937092558336401,-18.17806733706948,1.000353972158739,8.14611490186973,51.6732622800721,0,0,0
0.231,0.0565,899,180.875,35.500010830010694,16.336227045787826,2.4507884401050255,0.07133464664378249,0.3580308802947,5.310345725391471,1.169904852677878,9.924726391784864,51.470299354746295,0,0,0
0.231,0.0565,900,181.125,35.978927853517284,16.1486076135546,2.4656576545569044,0.22660117439026792,0.13890215529441324,43.88126862634999,1.4734193036748844,10.587164648444292,51.26168302089429,0,0,0
0.231,0.0565,901,181.375,36.573702916798226,16.311029969335166,2.488680990348086,0.3767124868093503,0.1342702979274689,85.95600459337766,0.9620545935847167,11.109128617063336,50.83946691733861,0,0,0
0.231,0.0565,902,181.625,36.9312041802289,16.53309805234914,2.501884455133394,0.48160566406263733,0.2288239360516236,94.11925187307679,-0.2657236177170762,11.63743895845515,49.824628001090126,0,0,0
0.231,0.0565,903,181.875,37.22415928367374,16.975402657261967,2.514869949966422,0.4983218235298548,0.23943183842020355,189.18587831448122,0.49191168992870415,11.232001427197174,48.69821309552495,0,0,0
0.231,0.0565,904,182.125,37.37462748891885,16.80300062239516,2.5243137039400088,0.4537013852764649,0.2326473652538624,-13.097000318015944,0.47952029463395773,10.901207929425095,47.58300209494218,0,0,0
0.231,0.0565,905,182.375,37.46885996757095,16.804583459487482,2.5338977829896776,0.4047214238470422,0.21862889843001104,-23.756619238984968,0.29452587480719783,10.700455655536329,46.50844944139444,0,0,0
0.231,0.0565,906,182.625,37.58457616940976,17.245397119700552,2.5436231039471027,0.44551344992048053,0.2231892060966341,6.976153397359667,0.3831285949968628,10.462225256373468,45.41822844551065,0,0,0
0.231,0.0565,907,182.875,37.62550211503888,16.62853181461659,2.5541321990689134,0.43661299764649325,0.22766803613439024,-12.593358076439927,0.22044906922693372,10.28065882282011,44.294461567043875,0,0,0
